,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
143,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,2,4,1,5,240,0,43,80,0.538,14,35,0.4,24,29,0.828,8,38,50,24,29,6,23,3,124,50.0,124.0,0,0.5630252100840336,20.0,2020-21,2020-12-23,0022000015,0,1,,1.0,1.0,20.0,0.5630252100840336,
144,New York,Knicks,1610612752,1,0,1,0,0,0,1,8,1,5,240,0,34,79,0.43,13,27,0.481,15,19,0.789,4,37,49,16,17,7,11,6,96,49.0,96.0,0,0.49019607843137253,4.0,2020-21,2021-05-16,0022001073,1,0,0.6944444444444444,0.4444444444444444,0.5694444444444444,5.666666666666667,0.5463242789470528,1.0
145,OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,0,9,1,5,240,0,35,86,0.407,11,41,0.268,11,15,0.733,9,37,55,19,19,4,12,6,92,55.0,92.0,0,0.5,-4.0,2020-21,2021-05-16,0022001073,0,1,0.5833333333333334,0.4166666666666667,0.5,1.3333333333333333,0.5096760321100918,1.0
146,Minnesota,Timberwolves,1610612750,0,1,0,1,0,0,1,7,1,5,240,0,39,95,0.411,5,37,0.135,25,34,0.735,20,31,58,22,19,8,13,7,108,58.0,108.0,0,0.5545454545454546,-16.0,2020-21,2021-05-15,0022001063,1,0,0.34285714285714286,0.2777777777777778,0.30985915492957744,-2.6666666666666665,0.5473193473193474,2.0
147,OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,1,16,1,5,240,0,46,95,0.484,18,42,0.429,14,18,0.778,9,35,60,27,24,8,15,6,124,60.0,124.0,0,0.5703125,16.0,2020-21,2021-05-15,0022001063,0,1,0.5833333333333334,0.42857142857142855,0.5070422535211268,0.0,0.5451091029762335,3.0
148,Cleveland,Cavaliers,1610612739,1,0,1,0,0,0,1,10,1,5,240,0,36,80,0.45,8,24,0.333,22,27,0.815,7,48,65,27,13,4,16,6,102,65.0,102.0,1,0.5431034482758621,8.0,2020-21,2021-05-12,0022001044,1,0,0.3611111111111111,0.2647058823529412,0.3142857142857143,-9.333333333333334,0.49774209946623743,2.0
149,OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,0,7,1,5,240,0,36,101,0.356,12,41,0.293,10,14,0.714,13,33,53,14,23,9,7,8,94,53.0,94.0,0,0.45871559633027525,-8.0,2020-21,2021-05-12,0022001044,0,1,0.5833333333333334,0.4117647058823529,0.5,-7.333333333333333,0.5605604918651225,1.0
150,Boston,Celtics,1610612738,0,1,0,1,0,0,0,8,1,5,240,0,46,88,0.523,18,37,0.486,11,17,0.647,3,29,40,31,21,8,11,5,121,40.0,121.0,0,0.6062992125984252,-8.0,2020-21,2021-05-11,0022001032,1,0,0.5833333333333334,0.42424242424242425,0.5072463768115942,-12.0,0.5743219597550308,2.0
151,OPPONENTS, Heat,1610612748,1,0,0,0,1,0,0,3,1,5,240,0,48,81,0.593,16,30,0.533,17,22,0.773,6,37,46,25,21,7,14,4,129,46.0,129.0,0,0.6403508771929824,8.0,2020-21,2021-05-11,0022001032,0,1,0.5714285714285714,0.5294117647058824,0.5507246376811594,7.666666666666667,0.624561403508772,2.0
152,Boston,Celtics,1610612738,0,1,0,1,0,0,0,8,1,5,240,0,45,83,0.542,14,38,0.368,20,25,0.8,6,28,42,29,22,7,14,3,124,42.0,124.0,0,0.6166666666666667,-6.0,2020-21,2021-05-09,0022000145,1,0,0.6,0.42424242424242425,0.5147058823529411,2.6666666666666665,0.5812169312169312,2.0
